Year,Gebietseinheit,Kategorie,Units,GeoCode,Value
2022,"Ostniedersachsen",Insgesamt,"in 1000",RA_01,293.74
2022,"Südniedersachsen",Insgesamt,"in 1000",RA_02,112.97
2022,"Statistische Region Braunschweig",Insgesamt,"in 1000",,406.71
2022,"Region Hannover",Insgesamt,"in 1000",,393.24
2022,"dav. Hannover, Landeshauptstadt",Insgesamt,"in 1000",RA_03,217.88
2022,"dav. Hannover, Umland",Insgesamt,"in 1000",RA_04,175.36
2022,"Weser-Leine-Bergland",Insgesamt,"in 1000",RA_05,118.08
2022,"Mittelniedersachsen",Insgesamt,"in 1000",RA_06,123.88
2022,"Statistische Region Hannover",Insgesamt,"in 1000",,635.2
2022,"Nordniedersachsen",Insgesamt,"in 1000",RA_07,193.05
2022,"Nordostniedersachsen",Insgesamt,"in 1000",RA_08,164.33
2022,"Statistische Region Lüneburg",Insgesamt,"in 1000",,357.38
2022,"Ostfriesland-Nordseeküste",Insgesamt,"in 1000",RA_09,119.96
2022,"Oldenburger Raum",Insgesamt,"in 1000",RA_10,164.14
2022,"Westniedersachsen",Insgesamt,"in 1000",RA_11,327.94
2022,"Statistische Region Weser-Ems",Insgesamt,"in 1000",,612.05
2022,"Niedersachsen",Insgesamt,"in 1000",,2011.34
2021,"Ostniedersachsen",Insgesamt,"in 1000",RA_01,288.96
2021,"Südniedersachsen",Insgesamt,"in 1000",RA_02,111.4
2021,"Statistische Region Braunschweig",Insgesamt,"in 1000",,400.35
2021,"Region Hannover",Insgesamt,"in 1000",,371.77
2021,"dav. Hannover, Landeshauptstadt",Insgesamt,"in 1000",RA_03,204.64
2021,"dav. Hannover, Umland",Insgesamt,"in 1000",RA_04,167.14
2021,"Weser-Leine-Bergland",Insgesamt,"in 1000",RA_05,116.01
2021,"Mittelniedersachsen",Insgesamt,"in 1000",RA_06,115.09
2021,"Statistische Region Hannover",Insgesamt,"in 1000",,602.88
2021,"Nordniedersachsen",Insgesamt,"in 1000",RA_07,184.16
2021,"Nordostniedersachsen",Insgesamt,"in 1000",RA_08,148.04
2021,"Statistische Region Lüneburg",Insgesamt,"in 1000",,332.2
