Year,Gebietseinheit,Geschlecht,Units,GeoCode,Value
2023,"Braunschweig, Stadt",Insgesamt,Anzahl,K03101,14650
2023,"Salzgitter, Stadt",Insgesamt,Anzahl,K03102,5873
2023,"Wolfsburg, Stadt",Insgesamt,Anzahl,K03103,11293
2023,"Gifhorn",Insgesamt,Anzahl,K03151,4347
2023,"Goslar",Insgesamt,Anzahl,K03153,4169
2023,"Helmstedt",Insgesamt,Anzahl,K03154,3084
2023,"Northeim",Insgesamt,Anzahl,K03155,4247
2023,"Peine",Insgesamt,Anzahl,K03157,4438
2023,"Wolfenbüttel",Insgesamt,Anzahl,K03158,2002
2023,"Göttingen",Insgesamt,Anzahl,K03159,13306
2023,"Statistische Region Braunschweig",Insgesamt,Anzahl,K031,67409
2023,"Region Hannover",Insgesamt,Anzahl,K03241,80235
2023,"dav. Hannover, Lhst.",Insgesamt,Anzahl,K03241001,49080
2023,"dav. Hannover, Umland",Insgesamt,Anzahl,K03241999,31155
2023,"Diepholz",Insgesamt,Anzahl,K03251,9504
2023,"Hameln-Pyrmont",Insgesamt,Anzahl,K03252,5242
2023,"Hildesheim",Insgesamt,Anzahl,K03254,8762
2023,"Holzminden",Insgesamt,Anzahl,K03255,2132
2023,"Nienburg (Weser)",Insgesamt,Anzahl,K03256,4401
2023,"Schaumburg",Insgesamt,Anzahl,K03257,5020
2023,"Statistische Region Hannover",Insgesamt,Anzahl,K032,115296
2023,"Celle",Insgesamt,Anzahl,K03351,5842
2023,"Cuxhaven",Insgesamt,Anzahl,K03352,6153
2023,"Harburg",Insgesamt,Anzahl,K03353,12859
2023,"Lüchow-Dannenberg",Insgesamt,Anzahl,K03354,973
2023,"Lüneburg",Insgesamt,Anzahl,K03355,4940
2023,"Osterholz",Insgesamt,Anzahl,K03356,2666
2023,"Rotenburg (Wümme)",Insgesamt,Anzahl,K03357,5238
2023,"Heidekreis",Insgesamt,Anzahl,K03358,5758
2023,"Stade",Insgesamt,Anzahl,K03359,7317
2023,"Uelzen",Insgesamt,Anzahl,K03360,2333
2023,"Verden",Insgesamt,Anzahl,K03361,8992
2023,"Statistische Region Lüneburg",Insgesamt,Anzahl,K033,63071
2023,"Delmenhorst, Stadt",Insgesamt,Anzahl,K03401,3063
2023,"Emden, Stadt",Insgesamt,Anzahl,K03402,2726
2023,"Oldenburg (Oldb), Stadt",Insgesamt,Anzahl,K03403,8487
2023,"Osnabrück, Stadt",Insgesamt,Anzahl,K03404,11434
2023,"Wilhelmshaven, Stadt",Insgesamt,Anzahl,K03405,2595
2023,"Ammerland",Insgesamt,Anzahl,K03451,5331
2023,"Aurich",Insgesamt,Anzahl,K03452,5337
2023,"Cloppenburg",Insgesamt,Anzahl,K03453,14103
2023,"Emsland",Insgesamt,Anzahl,K03454,20972
2023,"Friesland",Insgesamt,Anzahl,K03455,2000
2023,"Grafschaft Bentheim",Insgesamt,Anzahl,K03456,7254
2023,"Leer",Insgesamt,Anzahl,K03457,4903
2023,"Oldenburg",Insgesamt,Anzahl,K03458,6591
2023,"Osnabrück",Insgesamt,Anzahl,K03459,17042
2023,"Vechta",Insgesamt,Anzahl,K03460,13863
2023,"Wesermarsch",Insgesamt,Anzahl,K03461,3106
2023,"Wittmund",Insgesamt,Anzahl,K03462,1224
2023,"Statistische Region Weser-Ems",Insgesamt,Anzahl,K034,130031
2023,"Niedersachsen",Insgesamt,Anzahl,K030,375807
2022,"Braunschweig, Stadt",Insgesamt,Anzahl,K03101,13491
2022,"Salzgitter, Stadt",Insgesamt,Anzahl,K03102,5434
2022,"Wolfsburg, Stadt",Insgesamt,Anzahl,K03103,10542
