Year,Kategorie,Geschlecht,Units,Value
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+12.6
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+12.6
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+12.2
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+11.2
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+10.7
Juni 2012,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+10
Juni 2013,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+9.6
Juni 2014,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+9.9
Juni 2015,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+10.7
Juni 2016,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+12.6
Juni 2017,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+12.3
Juni 2018,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+10.8
Juni 2019,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+10.1
Juni 2020,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+12.1
Juni 2021,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+10.4
Juni 2022,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+11.3
Juni 2023,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+12.9
Juni 2024,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Insgesamt,Prozentpunkte,+11.2
Juni 2007,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+11
Juni 2008,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+10.6
Juni 2009,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+10.6
Juni 2010,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+9.6
Juni 2011,Abstand der Arbeitslosenquote von Ausländerinnen und Ausländern zu Insgesamt,Männer,Prozentpunkte,+9.2
